"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176","adds a car to the cart and keeps duplicate adds idempotent","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","137","filters cars by model and range","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","236","logs in an existing user","Auth API","2026-08-14","passed","2026-08-14","","","",""
"","29","rejects protected resources without a bearer token","Auth API","2026-08-14","passed","2026-08-14","","","",""
"","2076","catalog filters cars by model","chromium","2026-08-14","passed","2026-08-14","","car-shop.spec.js","",""
"","154","rejects checkout when the cart is empty","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","4905","new user can register, browse cars, add to cart, and buy","chromium","2026-08-14","passed","2026-08-14","","car-shop.spec.js","",""
"","0","failure demo captures diagnostics for the Allure report","chromium","2026-08-14","skipped","2026-08-14","","failure-artifacts-demo.spec.js","",""
"","136","lists reusable seeded cars sorted by price by default","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","205","registers a user and returns the current account","Auth API","2026-08-14","passed","2026-08-14","","","",""
"","188","creates an order from the cart and removes the purchased car from inventory","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
